method,seed,train_size,test_size,input_dim,hidden_dim,epochs,test_acc,train_time_sec,final_train_loss,final_train_acc,mean_feedback_alignment
bp,0,2000,1000,196,96,8,0.883,0.15512695536017418,0.49039480090141296,0.873,
dfa_3factor,0,2000,1000,196,96,8,0.869,0.14219537191092968,0.47850584983825684,0.86,0.24545673299458248
zo_spsa,0,2000,1000,196,32,5,0.091,0.0598458144813776,2.4048101902008057,0.093,
stdp,0,2000,1000,196,96,1,0.226,3.2319749034941196,,0.2175,
bp,1,2000,1000,196,96,8,0.876,0.17250771075487137,0.471145361661911,0.879,
dfa_3factor,1,2000,1000,196,96,8,0.859,0.14814488776028156,0.47388848662376404,0.8735,0.2834071864836102
zo_spsa,1,2000,1000,196,32,5,0.121,0.04637653939425945,2.327929973602295,0.1285,
stdp,1,2000,1000,196,96,1,0.336,3.2568551432341337,,0.332,
bp,2,2000,1000,196,96,8,0.85,0.13890528678894043,0.5052185654640198,0.875,
dfa_3factor,2,2000,1000,196,96,8,0.826,0.14043771103024483,0.5128896832466125,0.856,0.28769308153218665
zo_spsa,2,2000,1000,196,32,5,0.116,0.05273629352450371,2.3078091144561768,0.113,
stdp,2,2000,1000,196,96,1,0.248,2.899175465106964,,0.2815,
