method,seed,delay,train_episodes,test_episodes,hidden_dim,epochs,overall_acc,target_acc,mean_loss,train_time_sec
bigram,0,12,2000,800,0,0,0.9285714285714286,0.0,0.3476140372123498,0.0
reservoir,0,12,2000,800,12,12,0.9285714285714286,0.0,0.2767439265474653,9.454647807404399
eprop_3factor,0,12,2000,800,12,12,1.0,1.0,0.0013906329009951539,16.542335188016295
eprop_resampled,0,12,2000,800,12,12,0.8899107142857143,0.0,0.4650266340345771,17.597973754629493
bptt_rnn,0,12,2000,800,12,12,1.0,1.0,0.0019370731803620147,13.110575247555971
bigram,1,12,2000,800,0,0,0.9285714285714286,0.0,0.3473593676791318,0.0
reservoir,1,12,2000,800,12,12,0.9285714285714286,0.0,0.2768014268080329,9.14358863979578
eprop_3factor,1,12,2000,800,12,12,1.0,1.0,0.004128739499202293,16.54684615135193
eprop_resampled,1,12,2000,800,12,12,0.9133928571428571,0.0,0.39360320946196975,17.996051194146276
bptt_rnn,1,12,2000,800,12,12,0.9676785714285714,0.5475,0.060863846745045073,13.299509048461914
bigram,2,12,2000,800,0,0,0.9285714285714286,0.0,0.3475794212103696,0.0
reservoir,2,12,2000,800,12,12,0.9285714285714286,0.0,0.2317298928331857,9.36165777221322
eprop_3factor,2,12,2000,800,12,12,1.0,1.0,0.0011064078198779663,16.21692942082882
eprop_resampled,2,12,2000,800,12,12,0.8571428571428571,0.0,0.5827407480091237,18.2445552572608
bptt_rnn,2,12,2000,800,12,12,0.9453571428571429,0.235,0.1383686287704318,13.389618894085288
